gsa_source,gsa_target,spillover_weight
238,67,56546.57635880528
238,70,45078.34663194687
238,71,56546.57635880528
244,15,26572.573020742053
244,188,26572.573020742053
244,196,26572.573020742053
244,20,26572.573020742053
244,22,26572.573020742053
244,254,26572.573020742053
244,277,26572.573020742053
244,306,26572.573020742053
244,326,26572.573020742053
244,39,26572.573020742053
244,481,26572.573020742053
244,482,26571.99605618109
244,484,26572.364912248366
244,506,26572.573020742053
244,507,26572.573020742053
244,508,26572.573020742053
244,514,26530.323546676485
244,515,26572.573020742053
244,517,26544.38650984627
244,523,26572.573020742053
249,155,64750.635094157195
249,160,64748.28894715454
249,182,64750.635094157195
249,193,64750.254002253154
249,312,64743.97222939028
249,496,64746.819903390046
249,97,64749.49689574629
252,116,82490.60148165036
252,137,82490.19865032798
252,140,82490.60148165036
252,142,82486.05479034371
252,151,82490.60148165036
252,152,82490.60148165036
252,159,82490.49498250103
252,183,82467.62601575343
252,189,82490.60148165036
252,201,82489.48688825034
252,208,82480.65832667564
252,228,82481.68700358826
252,249,82489.78714732871
252,288,82488.97554803023
252,389,82490.59697337686
252,91,82490.60148165036
252,99,82490.60148165036
254,222,34409.56809531901
254,226,34409.41786481226
254,25,62808.51247295271
254,29,62807.39842406602
254,358,34408.15393092718
254,411,34409.52696283114
254,42,62808.341741371296
254,43,62808.51247295271
254,470,62808.51247295271
254,490,62806.02055981838
254,518,62780.624696867395
254,528,62808.51247295271
254,530,62808.51247295271
254,537,62808.51247295271
254,538,62808.51247295271
254,541,62775.672704709374
254,544,62808.46821886437
254,545,62808.51247295271
254,73,34405.50341687941
259,116,82489.48336689422
259,137,82489.48336689422
259,140,82489.48336689422
259,142,82486.05479034371
259,151,82489.48336689422
259,152,82489.48336689422
259,159,82489.48336689422
259,183,82467.62601575343
259,189,82489.48336689422
259,201,82489.48336689422
259,208,82480.65832667564
259,228,82481.68700358826
259,249,82489.48336689422
259,288,82488.97554803023
259,389,82489.48336689422
259,91,82489.48336689422
259,99,82489.48336689422
265,116,82490.60148165036
265,137,82490.19865032798
265,140,82490.60148165036
265,142,82486.05479034371
265,151,82490.60148165036
265,152,82490.60148165036
265,159,82490.49498250103
265,183,82467.62601575343
265,189,82490.60148165036
265,201,82489.48688825034
265,208,82480.65832667564
265,228,82481.68700358826
265,249,82489.78714732871
265,288,82488.97554803023
265,389,82490.59697337686
265,91,82490.60148165036
265,99,82490.60148165036
266,10,53101.749484802844
266,13,53100.84197504905
266,17,53101.749484802844
266,19,63889.79691722237
266,206,53099.34416199872
266,214,53091.47823119123
266,220,53083.962453208966
266,222,71617.8054536496
266,226,71617.51044122872
266,23,53101.749484802844
266,231,53090.929673240695
266,237,53101.749484802844
266,269,53101.749484802844
266,271,53101.749484802844
266,298,53094.078407790854
266,30,53101.749484802844
266,301,53100.810341944176
266,302,53101.749484802844
266,308,53092.6554251794
266,33,63888.1296550761
266,34,63887.45081192624
266,358,71614.87977195765
266,360,53101.749484802844
266,41,63889.79691722237
266,411,71617.73751070537
266,47,63889.79691722237
266,57,53101.749484802844
266,59,63889.79691722237
266,62,53101.749484802844
266,66,53101.749484802844
266,67,53101.315514363334
266,69,63853.41689958163
266,70,42330.007884124716
266,71,53101.749484802844
266,73,71609.36316547985
269,146,57686.25274063531
269,149,57686.805565663526
269,157,57691.57582766995
269,224,57691.57582766995
269,252,57691.57582766995
269,259,57690.79385007396
269,265,57691.57582766995
269,286,57684.934144581486
269,289,57691.57582766995
